fold,epoch,train_loss,mape,rmse,metric
2,71,1262097.9771719056,6.848042458295822,1123.4314,Train_Gpu_Memory_Mb
2,72,1352400.8892986667,6.967809796333313,1162.9277,Train_Gpu_Memory_Mb
2,73,1304485.732749423,6.798212975263596,1142.1407,Train_Gpu_Memory_Mb
2,74,1356150.3214609665,6.895697116851807,1164.5387,Train_Gpu_Memory_Mb
2,75,1334646.3733822345,6.912968307733536,1155.2689,Train_Gpu_Memory_Mb
2,76,1346955.124948567,7.015760242938995,1160.584,Train_Gpu_Memory_Mb
2,77,1402722.8742819182,6.914447247982025,1184.366,Train_Gpu_Memory_Mb
2,78,1350292.009524234,6.921610981225967,1162.0206,Train_Gpu_Memory_Mb
2,79,1328405.7347175276,6.758957356214523,1152.5648,Train_Gpu_Memory_Mb
2,80,1306958.2683771313,6.759623438119888,1143.2228,Train_Gpu_Memory_Mb
2,81,1318507.9585346533,6.950478255748749,1148.2631,Train_Gpu_Memory_Mb
2,82,1283794.4007791127,6.671427935361862,1133.0465,Train_Gpu_Memory_Mb
2,83,1290877.1351215832,6.666557490825653,1136.1677,Train_Gpu_Memory_Mb
2,84,1262145.1727662364,6.67286142706871,1123.4524,Train_Gpu_Memory_Mb
2,85,1361321.718605966,6.765829026699066,1166.757,Train_Gpu_Memory_Mb
2,86,1261656.982663505,6.603197753429413,1123.2351,Train_Gpu_Memory_Mb
2,87,1256621.5476085332,6.724662333726883,1120.9913,Train_Gpu_Memory_Mb
2,88,1344673.744665115,6.930916756391525,1159.6007,Train_Gpu_Memory_Mb
2,89,1316724.197582582,6.881427019834518,1147.4861,Train_Gpu_Memory_Mb
2,90,1413514.682325745,6.770573556423187,1188.9132,Train_Gpu_Memory_Mb
2,91,1350153.4395133597,6.866151839494705,1161.961,Train_Gpu_Memory_Mb
2,92,1277059.4886471834,6.684461981058121,1130.0706,Train_Gpu_Memory_Mb
2,93,1318660.0800556554,6.844131648540497,1148.3292,Train_Gpu_Memory_Mb
2,94,1289649.7885220144,6.739472597837448,1135.6274,Train_Gpu_Memory_Mb
2,95,1291702.1228232344,6.807490438222885,1136.5306,Train_Gpu_Memory_Mb
2,96,1252743.608018722,6.731132417917252,1119.2603,Train_Gpu_Memory_Mb
2,97,1377068.6761331365,6.638987362384796,1173.4857,Train_Gpu_Memory_Mb
2,98,1293539.3022191774,6.709747761487961,1137.3386,Train_Gpu_Memory_Mb
2,99,1269695.9734734371,6.595542281866074,1126.8079,Train_Gpu_Memory_Mb
2,100,1327903.10103627,6.668569892644882,1152.3468,Train_Gpu_Memory_Mb
3,1,35846057.695400536,38.62050175666809,5987.1577,Train_Gpu_Memory_Mb
3,2,5752837.120200071,20.360125601291656,2398.5073,Train_Gpu_Memory_Mb
3,3,4587205.127775027,17.326663434505463,2141.7761,Train_Gpu_Memory_Mb
3,4,3752190.4884560048,14.780500531196594,1937.0571,Train_Gpu_Memory_Mb
3,5,3496215.670396809,13.523203134536743,1869.817,Train_Gpu_Memory_Mb
3,6,3034437.013792987,12.357523292303085,1741.9636,Train_Gpu_Memory_Mb
3,7,2907881.1843440277,11.509501934051514,1705.2511,Train_Gpu_Memory_Mb
3,8,2706356.9870333727,11.0277459025383,1645.1008,Train_Gpu_Memory_Mb
3,9,2604647.3782240576,10.87941974401474,1613.8921,Train_Gpu_Memory_Mb
3,10,2425025.772377027,10.39120927453041,1557.2494,Train_Gpu_Memory_Mb
3,11,2324209.482486241,10.071076452732086,1524.5359,Train_Gpu_Memory_Mb
3,12,2356292.9792115837,10.253079980611801,1535.0221,Train_Gpu_Memory_Mb
3,13,2048630.1266361033,9.594786912202835,1431.3036,Train_Gpu_Memory_Mb
3,14,2117740.647054319,9.453992545604706,1455.2458,Train_Gpu_Memory_Mb
3,15,1952270.775544918,9.105785191059113,1397.2368,Train_Gpu_Memory_Mb
3,16,2101576.4049289096,9.135802835226059,1449.6815,Train_Gpu_Memory_Mb
3,17,2022376.8118815087,9.381673485040665,1422.103,Train_Gpu_Memory_Mb
3,18,1838601.5256163115,8.712444454431534,1355.9503,Train_Gpu_Memory_Mb
3,19,1779047.778538691,8.586211502552032,1333.8094,Train_Gpu_Memory_Mb
3,20,1906960.5936058604,8.817427605390549,1380.9274,Train_Gpu_Memory_Mb
3,21,1754840.6963394347,8.457834273576736,1324.704,Train_Gpu_Memory_Mb
3,22,1837250.0745109508,8.5555799305439,1355.4519,Train_Gpu_Memory_Mb
3,23,1746873.834329305,8.490095287561417,1321.6936,Train_Gpu_Memory_Mb
3,24,1833696.9352323262,8.541786670684814,1354.1407,Train_Gpu_Memory_Mb
3,25,1682418.2872155276,8.180749416351318,1297.0807,Train_Gpu_Memory_Mb
3,26,1692355.8358110918,8.215265721082687,1300.9058,Train_Gpu_Memory_Mb
3,27,1642807.7738786691,7.874803245067596,1281.7206,Train_Gpu_Memory_Mb
3,28,1655835.805294226,7.888619601726532,1286.7928,Train_Gpu_Memory_Mb
3,29,1653245.8681225874,7.945409417152405,1285.786,Train_Gpu_Memory_Mb
3,30,1694292.411204465,7.9452358186244965,1301.6499,Train_Gpu_Memory_Mb
3,31,1640778.2869675804,8.043160289525986,1280.9287,Train_Gpu_Memory_Mb
3,32,1634321.220188938,7.920265942811966,1278.4056,Train_Gpu_Memory_Mb
3,33,1535506.9978402583,7.67698809504509,1239.1558,Train_Gpu_Memory_Mb
3,34,1624017.929756071,7.947523146867752,1274.3696,Train_Gpu_Memory_Mb
3,35,1546469.1535555185,7.680144160985947,1243.5712,Train_Gpu_Memory_Mb
3,36,1525557.114869053,7.740867882966995,1235.1344,Train_Gpu_Memory_Mb
3,37,1650941.3450597262,7.935326546430588,1284.8896,Train_Gpu_Memory_Mb
3,38,1502040.4881282228,7.684750854969025,1225.5776,Train_Gpu_Memory_Mb
3,39,1514656.202504686,7.613976299762726,1230.7137,Train_Gpu_Memory_Mb
3,40,1587483.123634012,7.720355689525604,1259.9536,Train_Gpu_Memory_Mb
3,41,1588366.9208038556,7.6005347073078156,1260.3043,Train_Gpu_Memory_Mb
3,42,1477382.2529049898,7.366795837879181,1215.4762,Train_Gpu_Memory_Mb
3,43,1469470.7833213287,7.3256716132164,1212.2173,Train_Gpu_Memory_Mb
3,44,1477719.1515690563,7.428627461194992,1215.6147,Train_Gpu_Memory_Mb
3,45,1593257.4588206743,7.7209413051605225,1262.243,Train_Gpu_Memory_Mb
3,46,1525560.156282546,7.479841262102127,1235.1357,Train_Gpu_Memory_Mb
3,47,1573687.747334527,7.569599151611328,1254.4672,Train_Gpu_Memory_Mb
3,48,1469464.540649161,7.261206209659576,1212.2147,Train_Gpu_Memory_Mb
3,49,1437875.1715198457,7.2916775941848755,1199.1143,Train_Gpu_Memory_Mb
3,50,1510135.1672326,7.366227358579636,1228.8756,Train_Gpu_Memory_Mb
3,51,1469636.3089866764,7.407250255346298,1212.2855,Train_Gpu_Memory_Mb
3,52,1409674.3421184162,7.341460138559341,1187.2971,Train_Gpu_Memory_Mb
3,53,1521891.352750306,7.61791467666626,1233.6497,Train_Gpu_Memory_Mb
3,54,1444374.8295723943,7.400135695934296,1201.8215,Train_Gpu_Memory_Mb
3,55,1429176.318224352,7.22348690032959,1195.4817,Train_Gpu_Memory_Mb
3,56,1493693.0525753216,7.361523061990738,1222.1674,Train_Gpu_Memory_Mb
3,57,1428502.3797262968,7.225347310304642,1195.1997,Train_Gpu_Memory_Mb
3,58,1427629.6625567987,7.21941664814949,1194.8346,Train_Gpu_Memory_Mb
3,59,1428901.347189104,7.04362690448761,1195.3666,Train_Gpu_Memory_Mb
3,60,1388364.004462575,7.137501239776611,1178.2886,Train_Gpu_Memory_Mb
3,61,1425463.0021650912,7.137235254049301,1193.9276,Train_Gpu_Memory_Mb
3,62,1415408.894012381,7.242392003536224,1189.7096,Train_Gpu_Memory_Mb
3,63,1450059.2401221448,7.324095070362091,1204.1841,Train_Gpu_Memory_Mb
3,64,1420419.8314399102,7.206536084413528,1191.8136,Train_Gpu_Memory_Mb
3,65,1373419.8040142546,7.110895961523056,1171.9299,Train_Gpu_Memory_Mb
3,66,1360397.738937359,7.090392708778381,1166.3608,Train_Gpu_Memory_Mb
3,67,1474306.4974111014,7.074041664600372,1214.2102,Train_Gpu_Memory_Mb
3,68,1412312.5489816952,7.0693239569664,1188.4076,Train_Gpu_Memory_Mb
3,69,1408597.257617606,7.171488553285599,1186.8434,Train_Gpu_Memory_Mb
3,70,1453450.0974149269,6.9457754492759705,1205.5912,Train_Gpu_Memory_Mb
3,71,1417862.9148615822,7.013353705406189,1190.7405,Train_Gpu_Memory_Mb
3,72,1340598.2932998308,6.876031309366226,1157.842,Train_Gpu_Memory_Mb
3,73,1363603.0820869035,6.912485510110855,1167.7341,Train_Gpu_Memory_Mb
3,74,1334539.52200441,6.9402046501636505,1155.2227,Train_Gpu_Memory_Mb
3,75,1344784.1403182775,6.807924062013626,1159.6483,Train_Gpu_Memory_Mb
3,76,1366850.9120431214,6.991711258888245,1169.124,Train_Gpu_Memory_Mb
3,77,1327996.5502943567,6.877451390028,1152.3873,Train_Gpu_Memory_Mb
3,78,1356595.6623391581,6.894580274820328,1164.7299,Train_Gpu_Memory_Mb
3,79,1358075.9767569616,7.012659311294556,1165.3652,Train_Gpu_Memory_Mb
